geometry,weight,road_type
"{""type"": ""LineString"", ""coordinates"": [[121.4585914, 25.1574231], [121.4583607, 25.1578213]]}",49.86368152405472,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4583607, 25.1578213], [121.4579975, 25.1584078]]}",74.57291014023737,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4579975, 25.1584078], [121.4578592, 25.1586403]]}",29.285244611338957,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4578592, 25.1586403], [121.4571124, 25.1598615]]}",154.80859282411686,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4571124, 25.1598615], [121.4568075, 25.1603779]]}",64.93568323890098,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4568075, 25.1603779], [121.4566429, 25.1606938]]}",38.72644338184783,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4566429, 25.1606938], [121.4565816, 25.1608065]]}",13.929299692953254,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4565816, 25.1608065], [121.4564526, 25.1610958]]}",34.583180859413055,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4564526, 25.1610958], [121.456356, 25.1613703]]}",31.92699758259335,primary
"{""type"": ""LineString"", ""coordinates"": [[121.456356, 25.1613703], [121.4563064, 25.1616082]]}",26.821693721740253,primary
"{""type"": ""LineString"", ""coordinates"": [[121.456356, 25.1613703], [121.4565075, 25.1615499]]}",25.080261758638347,tertiary
"{""type"": ""LineString"", ""coordinates"": [[121.4563064, 25.1616082], [121.4562969, 25.1619043]]}",32.81212238817733,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4562969, 25.1619043], [121.4562903, 25.1621496]]}",27.179319596311824,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4562969, 25.1619043], [121.4561682, 25.1618934]]}",13.030297842485258,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4562903, 25.1621496], [121.4563104, 25.1625101]]}",39.98292573389554,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4563104, 25.1625101], [121.4563855, 25.1628985]]}",43.68300794038836,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4563855, 25.1628985], [121.4564418, 25.1630976]]}",22.77233352170721,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4564418, 25.1630976], [121.456533, 25.1632821]]}",22.409317113380602,primary
"{""type"": ""LineString"", ""coordinates"": [[121.456533, 25.1632821], [121.4566524, 25.1634945]]}",26.427179689444475,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4566524, 25.1634945], [121.4567945, 25.1636814]]}",25.175211137150185,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4567945, 25.1636814], [121.456997, 25.163906]]}",32.181503926289125,primary
"{""type"": ""LineString"", ""coordinates"": [[121.456997, 25.163906], [121.4574679, 25.1643525]]}",68.55290866718424,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4574679, 25.1643525], [121.4576543, 25.1645418]]}",28.155864376476984,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4456348, 25.1704096], [121.4451969, 25.1704062]]}",44.143169064148985,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4456348, 25.1704096], [121.4455541, 25.1699889]]}",47.30443050341613,unclassified
"{""type"": ""LineString"", ""coordinates"": [[121.4456348, 25.1704096], [121.4456443, 25.1704806]]}",7.922553769639203,unclassified
"{""type"": ""LineString"", ""coordinates"": [[121.4456348, 25.1704096], [121.4459916, 25.1703955]]}",36.00034994402447,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4451969, 25.1704062], [121.444757, 25.1703698]]}",44.52609807865156,residential
"{""type"": ""LineString"", ""coordinates"": [[121.444757, 25.1703698], [121.4444754, 25.1703225]]}",28.865554634344967,residential
"{""type"": ""LineString"", ""coordinates"": [[121.444757, 25.1703698], [121.4447006, 25.1705972]]}",25.822080066243302,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4444754, 25.1703225], [121.4442867, 25.1702509]]}",20.608674747734327,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4442867, 25.1702509], [121.4441214, 25.1701882]]}",18.05217486397488,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4442867, 25.1702509], [121.4444222, 25.1699466]]}",36.36875630358955,footway
"{""type"": ""LineString"", ""coordinates"": [[121.4441214, 25.1701882], [121.4440518, 25.17016]]}",7.679829840329626,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4441214, 25.1701882], [121.4442869, 25.1697819]]}",47.99729264079777,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4441214, 25.1701882], [121.444007, 25.1703593]]}",22.184937203031883,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4440518, 25.17016], [121.4440019, 25.1701444]]}",5.3185981010845085,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4440518, 25.17016], [121.4440395, 25.1701904]]}",3.5883332761352817,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4440518, 25.17016], [121.4440938, 25.1700558]]}",12.293926203341595,primary
"{""type"": ""LineString"", ""coordinates"": [[121.4440019, 25.1701444], [121.4439415, 25.1701566]]}",6.236669040773231,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4439415, 25.1701566], [121.4437994, 25.1702124]]}",15.600716894797081,residential
"{""type"": ""LineString"", ""coordinates"": [[121.4437994, 25.1702124], [121.4435526, 25.1701542]]}",25.699866032836944,residential
