latitude,longitude,building,shelter
25.1574231,121.4585914,,
25.1578213,121.4583607,,
25.1584078,121.4579975,,
25.1586403,121.4578592,,
25.1598615,121.4571124,,
25.1603779,121.4568075,,
25.1606938,121.4566429,,
25.1608065,121.4565816,,
25.1610958,121.4564526,,
25.1613703,121.456356,,
25.1616082,121.4563064,,
25.1619043,121.4562969,,
25.1621496,121.4562903,,
25.1625101,121.4563104,,
25.1628985,121.4563855,,
25.1630976,121.4564418,,
25.1632821,121.456533,,
25.1634945,121.4566524,,
25.1636814,121.4567945,,
25.163906,121.456997,,
25.1643525,121.4574679,,
25.1704096,121.4456348,,
25.1704062,121.4451969,,
25.1703698,121.444757,,
25.1703225,121.4444754,,
25.1702509,121.4442867,,
25.1701882,121.4441214,,
25.17016,121.4440518,,
25.1701444,121.4440019,,
25.1701566,121.4439415,,
25.1702124,121.4437994,,
25.1701542,121.4435526,,
25.1699515,121.4431302,,
25.1699211,121.4427815,,
25.1699369,121.4423966,,
25.1699466,121.4422115,,
25.1699794,121.4417917,,
25.1699976,121.4417475,,
25.1712799,121.4412627,,
25.1711032,121.441254,,
25.1710043,121.4412888,,
25.1708004,121.4413907,,
25.1706741,121.4414612,,
25.1704484,121.4416176,,
25.1702076,121.4417153,,
25.1700244,121.4400046,,
25.1704226,121.4402178,,
25.1705129,121.4402518,,
25.1706111,121.4402467,,
25.1706347,121.4402317,,
25.1706996,121.4401797,,
25.1708875,121.437826,,
25.1712848,121.4386388,,
25.1698868,121.4391627,,
25.1698749,121.4392167,,
25.1698369,121.439327,,
25.1697859,121.4394748,,
25.1697198,121.439635,,
25.1696751,121.4397434,,
25.1696608,121.439778,,
25.1696599,121.4397929,,
25.1695395,121.440097,,
25.1693228,121.4406107,,
25.1692677,121.4407586,,
25.1692118,121.440954,,
25.1691437,121.4412379,,
25.1690295,121.4419127,,
25.1689944,121.4419057,,
25.168898,121.4422605,,
25.1688354,121.44241,,
25.1687498,121.4425749,,
25.1684697,121.4430069,,
25.1683219,121.4432349,,
25.1682133,121.443385,,
25.1678807,121.4438194,,
25.1735115,121.4354168,,
25.1735561,121.4353074,,
25.1736539,121.435134,,
25.1743074,121.4339233,,
25.1744044,121.433715,,
25.1744457,121.4335836,,
25.1745567,121.4331719,,
25.1747448,121.4324571,,
25.1748143,121.4321134,,
25.1748956,121.4317607,,
25.1749499,121.4315605,,
25.1750846,121.4312769,,
25.1752477,121.4309675,,
25.1752764,121.4309188,,
25.1753663,121.4306399,,
25.1753857,121.4302965,,
25.1753446,121.4297384,,
25.1753485,121.4294246,,
25.1753776,121.4291678,,
25.1754068,121.4289985,,
25.1755093,121.4286266,,
25.1728496,121.4388409,,
25.1725825,121.4389995,,
25.1724658,121.4390207,,
25.1683123,121.4457527,,
25.1682709,121.4457681,,
25.1680232,121.4459505,,
25.1677859,121.4461829,,
25.1672071,121.4469717,,
25.1671526,121.4470586,,
